tconst,language,title type,primary title,original title,isAdult,start year,end year,runtime minutes,genres,averageRating,numVotes
tt0128666,English,movie,A Sweet Sickness,A Sweet Sickness,0,1968,\N,65,Drama,4.7,157
tt0128673,English,movie,Inside Amy,Inside Amy,0,1974,\N,100,"Crime,Drama,Horror",5.6,101
tt0128674,English,movie,Swinging Sorority,Swinging Sorority,0,1975,\N,80,Comedy,4.1,23
tt0128687,English,movie,Taboo: The Single and the LP,Taboo: The Single and the LP,0,1980,\N,53,Comedy,7.3,228
tt0128690,English,movie,Tainted,Tainted,0,1998,\N,108,"Comedy,Thriller",4.1,131
tt0128702,English,movie,Tanya,Tanya,0,1976,\N,79,"Comedy,Drama",4.7,120
tt0128711,English,movie,Teach Me,Teach Me,0,1998,\N,90,"Drama,Romance",4.6,85
tt0128712,English,movie,Teaser,Teaser,0,1974,\N,71,"Crime,Drama",5.3,81
tt0128719,English,movie,Teenage Tramp,Teenage Tramp,0,1973,\N,80,"Crime,Drama",4.4,179
tt0128731,English,movie,Ten Minute Alibi,Ten Minute Alibi,0,1935,\N,75,"Crime,Drama",5.8,13
tt0128736,English,movie,Terror on Tape,Terror on Tape,0,1985,\N,90,"Documentary,Horror",5.5,215
tt0128738,English,movie,Thar She Blows!,Thar She Blows!,0,1968,\N,84,"Comedy,Drama",4.3,64
tt0128743,English,movie,McCoy,This Gun for Hire,0,1996,\N,88,Action,6.4,16
tt0128755,English,movie,Time Tracers,Time Tracers,0,1997,\N,101,Sci-Fi,4.6,72
tt0128759,English,movie,Tina and the Professor,Tina and the Professor,0,1995,\N,93,"Comedy,Romance",7,73
tt0128769,English,movie,Tobacco Roody,Tobacco Roody,0,1970,\N,84,Comedy,4.9,238
tt0128776,English,movie,Too Much Too Often!,Too Much Too Often!,0,1968,\N,72,Drama,5.2,98
tt0128823,English,movie,The Vicious Sweet,The Vicious Sweet,0,1997,\N,90,Horror,3.6,152
tt0128838,English,movie,The Westerner,The Westerner,0,1934,\N,58,Western,6.5,49
tt0128840,English,movie,Why Sailors Leave Home,Why Sailors Leave Home,0,1930,\N,70,Comedy,6.1,16
tt0128842,English,movie,The Wiggles Movie,The Wiggles Movie,0,1997,\N,83,"Adventure,Animation,Comedy",6.3,501
tt0128843,English,movie,Wild Horse Ambush,Wild Horse Ambush,0,1952,\N,54,Western,6,30
tt0128844,English,movie,Windjammer,Windjammer,0,1937,\N,60,"Adventure,Crime,Drama",5.6,131
tt0128853,English,movie,You've Got Mail,You've Got Mail,0,1998,\N,119,"Comedy,Drama,Romance",6.7,218966
tt0128924,English,movie,Alligator Shoes,Alligator Shoes,0,1981,\N,99,"Comedy,Drama",6.1,47
tt0128927,English,movie,America and Lewis Hine,America and Lewis Hine,0,1984,\N,60,"Biography,Documentary,History",7,32
tt0128948,English,movie,Bach Cello Suite #3: Falling Down Stairs,Bach Cello Suite #3: Falling Down Stairs,0,1997,\N,55,Musical,7.4,27
tt0128966,English,movie,Black Mirror,Black Mirror,0,1981,\N,88,Drama,6.6,27
tt0128972,English,movie,Boots! Boots!,Boots! Boots!,0,1934,\N,80,"Comedy,Musical",4.7,125
tt0128977,English,movie,The Bumblebee Flies Anyway,The Bumblebee Flies Anyway,0,1999,\N,95,"Drama,Romance",6.2,1775
tt0128986,English,movie,Irish Whiskey Rebellion,Irish Whiskey Rebellion,0,1972,\N,93,Drama,2.8,34
tt0128997,English,movie,Olhar o Cinema Português: 1896-2006,Olhar o Cinema Portugu√™s: 1896-2006,0,2007,\N,55,"Biography,Documentary",5.6,19
